Stylist_ID,First_Name,MI,Last_Name,DOB,Street,City,State,Zip,Phone
1,Town,D,Schade,10/02/1972,3 Shasta Road,Brooklyn,NY,11241,347-570-2470
2,Rodrick,M,Ruggles,10/28/1980,2 Arizona Trail,Albany,NY,12222,518-269-8680
3,Jackelyn,E,Digweed,06/17/1983,0528 Moland Drive,Waterbury,CT,06726,203-686-2965
4,Mauricio,,Formie,08/13/1971,795 Mendota Court,Buffalo,NY,14276,716-411-6264
5,Janeta,,Giacomini,02/15/1982,97 Pearson Crossing,Jamaica,NY,11431,212-199-4840
6,Harlan,F,Bairnsfather,08/22/1964,61599 School Road,Hartford,CT,06105,860-586-6017
7,Lauree,N,Hayzer,12/17/1987,45 Troy Court,New York City,NY,10275,212-380-2407
8,Elspeth,,Tregian,06/13/1992,162 Gina Drive,Albany,NY,12242,518-154-1120
9,Ketty,,Northedge,08/21/1997,71982 Ilene Parkway,Albany,NY,12237,518-789-5894
10,Berny,,Pearson,11/14/1967,1 Carioca Lane,New Haven,CT,06538,203-805-7894
11,Chilton,,Disbrey,01/26/1999,26166 Mayer Park,New York City,NY,10125,212-142-5177
12,Aridatha,S,Boughtflower,08/06/1973,28 3rd Alley,New York City,NY,10105,917-464-9267
13,Pate,,Roux,03/11/1994,2 Mallory Place,Buffalo,NY,14263,716-294-2276
14,Zilvia,D,Sheeres,05/10/1997,21 Delladonna Pass,Jamaica,NY,11470,718-920-2027
15,Adriaens,,Henmarsh,10/14/2003,2756 Carpenter Court,Mount Vernon,NY,10557,914-501-0380
16,Drake,Q,Angrock,11/13/1995,87 Karstens Parkway,New York City,NY,10270,646-425-0261
17,Josee,,Ciardo,08/07/1996,5 Mallard Park,Buffalo,NY,14233,716-767-9718
18,Manolo,A,Gourley,12/01/1993,14 Hazelcrest Parkway,Hartford,CT,06160,860-355-3226
19,Cullan,Q,Heijnen,01/26/1984,76 Village Green Avenue,Albany,NY,12232,518-508-5169
20,Ber,,Rookledge,04/19/1983,4 Elgar Center,New York City,NY,10131,212-886-7860
21,Myrta,H,Lippingwell,08/29/1986,7 Mesta Road,New York City,NY,10079,212-465-0918
22,Claresta,R,Scarce,01/07/1989,35 Morningstar Place,New York City,NY,10260,212-396-9870
23,Pier,L,Middlemiss,07/09/1982,240 Acker Way,Brooklyn,NY,11220,718-135-3643
24,Marlon,R,Hurd,05/12/1993,0 Buell Parkway,Hartford,CT,06105,860-721-7160
25,Sharla,N,Naulls,03/01/1969,5084 Crowley Street,Hartford,CT,06105,860-936-8080
26,Lorna,M,Flaubert,04/29/2002,03 Lillian Circle,New York City,NY,10292,212-557-6552
27,Marlee,Q,Andrejevic,08/03/1978,07 Lake View Road,Bronx,NY,10454,718-291-1967
28,Irvin,A,Ortiger,01/14/2002,633 Blue Bill Park Circle,New York City,NY,10115,212-897-9302
29,Reiko,,Tzar,06/26/1992,03 Scoville Way,New Haven,CT,06510,203-749-9719
30,Mortie,,Carnall,06/23/1975,32 Schlimgen Avenue,Flushing,NY,11355,917-294-2195
31,Hubey,,MacWilliam,11/09/1975,86 Basil Plaza,Buffalo,NY,14276,716-447-8936
32,Andreas,C,Simonich,11/25/2002,53498 Del Mar Road,Bronx,NY,10464,914-256-4636
33,Ryley,Y,Westley,10/14/1970,203 Stang Junction,Hartford,CT,06140,860-957-7497
34,Richie,F,Pescott,10/16/1993,3 Goodland Crossing,New York City,NY,10060,646-441-8206
35,Ansley,,Clemonts,10/06/1997,9345 Leroy Plaza,Bronx,NY,10464,917-450-0174
36,Faye,J,De Zuani,10/07/1971,16 Bultman Junction,Great Neck,NY,11024,516-141-5442
37,Madelena,,Binding,11/13/1990,23 Butternut Junction,New York City,NY,10024,212-453-5569
38,Berty,Y,Nannoni,05/18/1981,2 2nd Plaza,Flushing,NY,11355,347-436-6113
39,Susan,Z,Luno,04/15/1972,25765 Nancy Avenue,New York City,NY,10004,347-636-5693
40,Zaneta,X,Bech,01/17/1986,832 Badeau Terrace,Albany,NY,12210,518-597-1648
41,Armin,A,Leather,10/02/1986,21 Moland Drive,Brooklyn,NY,11247,212-136-6871
42,Uriel,,Gianasi,05/11/1985,5 Farwell Hill,Brooklyn,NY,11205,646-687-2486
43,Kori,F,Scoines,11/27/1981,440 Barnett Parkway,Albany,NY,12227,518-520-6838
44,Alicia,,Jencey,03/15/2002,5053 Sloan Street,Syracuse,NY,13224,315-251-3043
45,Malory,N,Dickin,01/14/1999,4 Twin Pines Place,New York City,NY,10160,212-769-2248
46,Homerus,,Lathee,03/15/1978,41 Hauk Crossing,New York City,NY,10110,718-881-7274
47,Anny,M,Wipfler,07/12/1964,2 Arizona Junction,Rochester,NY,14609,585-411-1411
48,Alleyn,,Rollings,08/16/1969,4172 Hayes Street,Yonkers,NY,10705,914-207-3496
49,Ianthe,T,Marchington,04/05/1982,0 Kennedy Center,Buffalo,NY,14215,716-620-8057
50,Miguelita,N,Brewers,04/25/1969,66 Holmberg Center,New York City,NY,10260,212-204-0989
